"study_name","category","files_found","files_copied","files_combined","status"
"binary","crossfit_rerun",0,0,0,"no_metrics_file"
"competing_risk","crossfit_rerun",1,1,1,"collected"
"confidence_intervals/binary","crossfit_rerun",0,0,0,"no_metrics_file"
"confidence_intervals/continuous","crossfit_rerun",0,0,0,"no_metrics_file"
"confidence_intervals/optimal_sf (bin)","crossfit_rerun",0,0,0,"no_metrics_file"
"confidence_intervals/optimal_sf (cts)","crossfit_rerun",0,0,0,"no_metrics_file"
"continuous","crossfit_rerun",0,0,0,"no_metrics_file"
"missing/binary","crossfit_rerun",0,0,0,"no_metrics_file"
"missing/ci_example","crossfit_rerun",0,0,0,"no_metrics_file"
"missing/continuous","crossfit_rerun",0,0,0,"no_metrics_file"
"validation/continuous","crossfit_rerun",1,1,0,"collected"
"model_evaluation","first_run",1,1,1,"collected"
"crossfitting","no_rerun",0,0,0,"not_found"
"crossfitting/confidence_intervals","no_rerun",0,0,0,"not_found"
