"combo_idx","scenario","n","type","prop","mechanism","method","is_mi","n_files","manifest","manifest_rows","done","expected_done","shortfall","n_skipped_no_arm","n_error","n_to_patch","error_message","basis","n_orphan_tmp","orphan_tmp","n_patched","n_unpatched","n_skipped_mi_files","n_no_arm_files","n_unreadable","first_unpatched_run","last_patched_run","patch_window_start","died_at","span_minutes","diagnosis"
1,1,500,"both",0.3,"MAR","complete_cases",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:20:29.730102,2026-08-13 14:20:38.100164,0.14,"ok"
2,2,500,"both",0.3,"MAR","complete_cases",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:19:55.796106,2026-08-13 14:20:12.537541,0.28,"ok"
3,4,500,"both",0.3,"MAR","complete_cases",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:19:55.674888,2026-08-13 14:20:12.486734,0.28,"ok"
4,5,500,"both",0.3,"MAR","complete_cases",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:22:24.302439,2026-08-13 14:23:02.820934,0.64,"ok"
5,1,500,"both",0.3,"MNAR","complete_cases",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:30:41.742779,2026-08-13 14:32:33.252546,1.86,"ok"
6,2,500,"both",0.3,"MNAR","complete_cases",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:32:57.395715,2026-08-13 14:34:37.009019,1.66,"ok"
7,4,500,"both",0.3,"MNAR","complete_cases",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:32:57.610057,2026-08-13 14:35:26.717812,2.49,"ok"
8,5,500,"both",0.3,"MNAR","complete_cases",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:32:57.597463,2026-08-13 14:34:41.416813,1.73,"ok"
9,2,500,"both",0.3,"MNAR-Y","complete_cases",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:22:28.547532,2026-08-13 14:29:42.318969,7.23,"ok"
10,4,500,"both",0.3,"MNAR-Y","complete_cases",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:22:28.578416,2026-08-13 14:28:52.219039,6.39,"ok"
11,5,500,"both",0.3,"MNAR-Y","complete_cases",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:21:30.835626,2026-08-13 14:21:54.405024,0.39,"ok"
12,1,500,"both",0.3,"MAR","mean_imputation",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:21:30.83644,2026-08-13 14:22:35.404748,1.08,"ok"
